ID,name,site_ID,site_name,radio_unit_ID,radio_unit_type,radio_unit_status,TX_number,RX_number,bbu_ID,bbu_type,PCI,position_x_m,position_y_m,position_z_m,indoor,fdd_tdd_ind,subframe_assignment,FR,subcarriers_per_PRB,ofdm_symbols_in_slot,BS_tx_power_dBm,min_BS_to_UE_2D_distance_m,dl_freq_band,dl_earfcn,dl_carrier_frequency_GHz,dl_carrier_wavelength_m,dl_bandwidth_MHz,dl_PRBs_available,dl_subcarrier_spacing_kHz,dl_ofdm_symbol_duration_us,dl_control_channel_overhead,ul_freq_band,ul_earfcn,ul_carrier_frequency_GHz,ul_carrier_wavelength_m,ul_bandwidth_MHz,ul_available_PRBs,ul_subcarrier_spacing_kHz,ul_ofdm_symbol_duration_us,ul_control_channel_overhead,CRS_ports,CRS_power_boosting_Pb,BS_tx_power_CRS_RE_dBm,BS_tx_power_PDSCH_dBm,antenna_pattern_model,antenna_config_max_gain_dBi,antenna_config_hor_phi_3dB_deg,antenna_config_hor_A_m_dB,antenna_config_hor_alpha_elec_bearing_deg,antenna_config_hor_alpha_mec_bearing_deg,antenna_config_ver_theta_3dB_deg,antenna_config_ver_SLA_dB,antenna_config_ver_beta_elec_downtilt_deg,antenna_config_ver_beta_mec_downtilt_deg,antenna_config_gamma_elec_slant_deg,antenna_config_gamma_mec_slant_deg,antenna_config_Mg,antenna_config_Ng,antenna_config_M,antenna_config_N,antenna_config_P,antenna_config_P_type,antenna_config_number_of_elements,antenna_config_dgh_m,antenna_config_dgv_m,antenna_config_dh_m,antenna_config_dv_m,SSB_precoder,SSB_number_of_beams,SSB_number_of_beams_H,SSB_number_of_beams_V,CSI_RS_precoder,CSI_RS_number_of_beams,CSI_RS_number_of_beams_H,CSI_RS_number_of_beams_V,BS_propagation_model,BS_fast_channel_model,BS_scheduling_model
0,cell_0,0,site_0,0,4G-Macro-RRU-v1,active,8,8,0,4G-Macro-BBU-v1,0,529781.0,180838.0,25.76,0,TDD,SA2,1,12,14,43.0,35,-1,-1,2,0.15,20,100,15,66.74107142857143,0.14,-1,-1,2,0.15,20,100,15,66.74107142857143,0.14,1,-1,-1,-1,Ray_tracing,8,94.0,30,0,10.0,65,30,90.0,90,0,0,1,1,8,1,single,V,8,0,0,0.0652173913043478,0.0652173913043478,3GPPTR38_901_P1_single_column,1,1,1,3GPPTR38_901_P1_single_column,1,1,1,Ray_tracing,Ray_tracing,random_per_cell_beam
1,cell_1,0,site_0,0,4G-Macro-RRU-v1,active,8,8,1,4G-Macro-BBU-v1,1,529781.0,180838.0,25.76,0,TDD,SA2,1,12,14,43.0,35,-1,-1,2,0.15,20,100,15,66.74107142857143,0.14,-1,-1,2,0.15,20,100,15,66.74107142857143,0.14,1,-1,-1,-1,Ray_tracing,8,94.0,30,0,300.0,65,30,90.0,90,0,0,1,1,8,1,single,V,8,0,0,0.0652173913043478,0.0652173913043478,3GPPTR38_901_P1_single_column,1,1,1,3GPPTR38_901_P1_single_column,1,1,1,Ray_tracing,Ray_tracing,random_per_cell_beam
2,cell_2,0,site_0,0,4G-Macro-RRU-v1,active,8,8,2,4G-Macro-BBU-v1,2,529781.0,180838.0,25.76,0,TDD,SA2,1,12,14,43.0,35,-1,-1,2,0.15,20,100,15,66.74107142857143,0.14,-1,-1,2,0.15,20,100,15,66.74107142857143,0.14,1,-1,-1,-1,Ray_tracing,8,94.0,30,0,110.0,65,30,90.0,90,0,0,1,1,8,1,single,V,8,0,0,0.0652173913043478,0.0652173913043478,3GPPTR38_901_P1_single_column,1,1,1,3GPPTR38_901_P1_single_column,1,1,1,Ray_tracing,Ray_tracing,random_per_cell_beam
3,cell_3,1,site_1,1,4G-Macro-RRU-v1,active,8,8,3,4G-Macro-BBU-v1,3,529122.0,180810.0,30.3,0,TDD,SA2,1,12,14,43.0,35,-1,-1,2,0.15,20,100,15,66.74107142857143,0.14,-1,-1,2,0.15,20,100,15,66.74107142857143,0.14,1,-1,-1,-1,Ray_tracing,8,65.0,30,0,30.0,65,30,90.0,90,0,0,1,1,8,1,single,V,8,0,0,0.0652173913043478,0.0652173913043478,3GPPTR38_901_P1_single_column,1,1,1,3GPPTR38_901_P1_single_column,1,1,1,Ray_tracing,Ray_tracing,random_per_cell_beam
4,cell_4,1,site_1,1,4G-Macro-RRU-v1,active,8,8,4,4G-Macro-BBU-v1,4,529122.0,180810.0,30.3,0,TDD,SA2,1,12,14,43.0,35,-1,-1,2,0.15,20,100,15,66.74107142857143,0.14,-1,-1,2,0.15,20,100,15,66.74107142857143,0.14,1,-1,-1,-1,Ray_tracing,8,65.0,30,0,280.0,65,30,90.0,90,0,0,1,1,8,1,single,V,8,0,0,0.0652173913043478,0.0652173913043478,3GPPTR38_901_P1_single_column,1,1,1,3GPPTR38_901_P1_single_column,1,1,1,Ray_tracing,Ray_tracing,random_per_cell_beam
5,cell_5,1,site_1,1,4G-Macro-RRU-v1,active,8,8,5,4G-Macro-BBU-v1,5,529122.0,180810.0,30.3,0,TDD,SA2,1,12,14,43.0,35,-1,-1,2,0.15,20,100,15,66.74107142857143,0.14,-1,-1,2,0.15,20,100,15,66.74107142857143,0.14,1,-1,-1,-1,Ray_tracing,8,65.0,30,0,150.0,65,30,90.0,90,0,0,1,1,8,1,single,V,8,0,0,0.0652173913043478,0.0652173913043478,3GPPTR38_901_P1_single_column,1,1,1,3GPPTR38_901_P1_single_column,1,1,1,Ray_tracing,Ray_tracing,random_per_cell_beam
6,cell_6,2,site_2,2,4G-Macro-RRU-v1,active,8,8,6,4G-Macro-BBU-v1,6,528888.0,180707.0,30.61,0,TDD,SA2,1,12,14,43.0,35,-1,-1,2,0.15,20,100,15,66.74107142857143,0.14,-1,-1,2,0.15,20,100,15,66.74107142857143,0.14,1,-1,-1,-1,Ray_tracing,8,103.0,30,0,10.0,65,30,92.0,90,0,0,1,1,8,1,single,V,8,0,0,0.0652173913043478,0.0652173913043478,3GPPTR38_901_P1_single_column,1,1,1,3GPPTR38_901_P1_single_column,1,1,1,Ray_tracing,Ray_tracing,random_per_cell_beam
7,cell_7,2,site_2,2,4G-Macro-RRU-v1,active,8,8,7,4G-Macro-BBU-v1,7,528888.0,180707.0,29.61,0,TDD,SA2,1,12,14,43.0,35,-1,-1,2,0.15,20,100,15,66.74107142857143,0.14,-1,-1,2,0.15,20,100,15,66.74107142857143,0.14,1,-1,-1,-1,Ray_tracing,8,103.0,30,0,270.0,65,30,92.0,90,0,0,1,1,8,1,single,V,8,0,0,0.0652173913043478,0.0652173913043478,3GPPTR38_901_P1_single_column,1,1,1,3GPPTR38_901_P1_single_column,1,1,1,Ray_tracing,Ray_tracing,random_per_cell_beam
8,cell_8,2,site_2,2,4G-Macro-RRU-v1,active,8,8,8,4G-Macro-BBU-v1,8,528888.0,180707.0,29.61,0,TDD,SA2,1,12,14,43.0,35,-1,-1,2,0.15,20,100,15,66.74107142857143,0.14,-1,-1,2,0.15,20,100,15,66.74107142857143,0.14,1,-1,-1,-1,Ray_tracing,8,103.0,30,0,140.0,65,30,92.0,90,0,0,1,1,8,1,single,V,8,0,0,0.0652173913043478,0.0652173913043478,3GPPTR38_901_P1_single_column,1,1,1,3GPPTR38_901_P1_single_column,1,1,1,Ray_tracing,Ray_tracing,random_per_cell_beam
9,cell_9,3,site_3,3,4G-Macro-RRU-v1,active,8,8,9,4G-Macro-BBU-v1,9,529464.625,180952.9063,23.7,0,TDD,SA2,1,12,14,43.0,35,-1,-1,2,0.15,20,100,15,66.74107142857143,0.14,-1,-1,2,0.15,20,100,15,66.74107142857143,0.14,1,-1,-1,-1,Ray_tracing,8,65.0,30,0,350.0,65,30,90.0,90,0,0,1,1,8,1,single,V,8,0,0,0.0652173913043478,0.0652173913043478,3GPPTR38_901_P1_single_column,1,1,1,3GPPTR38_901_P1_single_column,1,1,1,Ray_tracing,Ray_tracing,random_per_cell_beam
10,cell_10,3,site_3,3,4G-Macro-RRU-v1,active,8,8,10,4G-Macro-BBU-v1,10,529464.625,180952.9063,23.7,0,TDD,SA2,1,12,14,43.0,35,-1,-1,2,0.15,20,100,15,66.74107142857143,0.14,-1,-1,2,0.15,20,100,15,66.74107142857143,0.14,1,-1,-1,-1,Ray_tracing,8,65.0,30,0,250.0,65,30,90.0,90,0,0,1,1,8,1,single,V,8,0,0,0.0652173913043478,0.0652173913043478,3GPPTR38_901_P1_single_column,1,1,1,3GPPTR38_901_P1_single_column,1,1,1,Ray_tracing,Ray_tracing,random_per_cell_beam
11,cell_11,3,site_3,3,4G-Macro-RRU-v1,active,8,8,11,4G-Macro-BBU-v1,11,529464.625,180952.9063,23.7,0,TDD,SA2,1,12,14,43.0,35,-1,-1,2,0.15,20,100,15,66.74107142857143,0.14,-1,-1,2,0.15,20,100,15,66.74107142857143,0.14,1,-1,-1,-1,Ray_tracing,8,65.0,30,0,130.0,65,30,90.0,90,0,0,1,1,8,1,single,V,8,0,0,0.0652173913043478,0.0652173913043478,3GPPTR38_901_P1_single_column,1,1,1,3GPPTR38_901_P1_single_column,1,1,1,Ray_tracing,Ray_tracing,random_per_cell_beam
12,cell_12,4,site_4,4,4G-Macro-RRU-v1,active,8,8,12,4G-Macro-BBU-v1,12,529090.0,180520.0,34.4,0,TDD,SA2,1,12,14,43.0,35,-1,-1,2,0.15,20,100,15,66.74107142857143,0.14,-1,-1,2,0.15,20,100,15,66.74107142857143,0.14,1,-1,-1,-1,Ray_tracing,8,94.0,30,0,30.0,65,30,92.0,90,0,0,1,1,8,1,single,V,8,0,0,0.0652173913043478,0.0652173913043478,3GPPTR38_901_P1_single_column,1,1,1,3GPPTR38_901_P1_single_column,1,1,1,Ray_tracing,Ray_tracing,random_per_cell_beam
13,cell_13,4,site_4,4,4G-Macro-RRU-v1,active,8,8,13,4G-Macro-BBU-v1,13,529090.0,180520.0,34.4,0,TDD,SA2,1,12,14,43.0,35,-1,-1,2,0.15,20,100,15,66.74107142857143,0.14,-1,-1,2,0.15,20,100,15,66.74107142857143,0.14,1,-1,-1,-1,Ray_tracing,8,94.0,30,0,235.0,65,30,92.0,90,0,0,1,1,8,1,single,V,8,0,0,0.0652173913043478,0.0652173913043478,3GPPTR38_901_P1_single_column,1,1,1,3GPPTR38_901_P1_single_column,1,1,1,Ray_tracing,Ray_tracing,random_per_cell_beam
14,cell_14,4,site_4,4,4G-Macro-RRU-v1,active,8,8,14,4G-Macro-BBU-v1,14,529090.0,180520.0,34.4,0,TDD,SA2,1,12,14,43.0,35,-1,-1,2,0.15,20,100,15,66.74107142857143,0.14,-1,-1,2,0.15,20,100,15,66.74107142857143,0.14,1,-1,-1,-1,Ray_tracing,8,94.0,30,0,140.0,65,30,92.0,90,0,0,1,1,8,1,single,V,8,0,0,0.0652173913043478,0.0652173913043478,3GPPTR38_901_P1_single_column,1,1,1,3GPPTR38_901_P1_single_column,1,1,1,Ray_tracing,Ray_tracing,random_per_cell_beam
15,cell_15,5,site_5,5,4G-Macro-RRU-v1,active,8,8,15,4G-Macro-BBU-v1,15,529518.0,181139.0,23.75,0,TDD,SA2,1,12,14,43.0,35,-1,-1,2,0.15,20,100,15,66.74107142857143,0.14,-1,-1,2,0.15,20,100,15,66.74107142857143,0.14,1,-1,-1,-1,Ray_tracing,8,94.0,30,0,20.0,65,30,92.0,90,0,0,1,1,8,1,single,V,8,0,0,0.0652173913043478,0.0652173913043478,3GPPTR38_901_P1_single_column,1,1,1,3GPPTR38_901_P1_single_column,1,1,1,Ray_tracing,Ray_tracing,random_per_cell_beam
16,cell_16,5,site_5,5,4G-Macro-RRU-v1,active,8,8,16,4G-Macro-BBU-v1,16,529518.0,181139.0,20.55,0,TDD,SA2,1,12,14,43.0,35,-1,-1,2,0.15,20,100,15,66.74107142857143,0.14,-1,-1,2,0.15,20,100,15,66.74107142857143,0.14,1,-1,-1,-1,Ray_tracing,8,94.0,30,0,260.0,65,30,92.0,90,0,0,1,1,8,1,single,V,8,0,0,0.0652173913043478,0.0652173913043478,3GPPTR38_901_P1_single_column,1,1,1,3GPPTR38_901_P1_single_column,1,1,1,Ray_tracing,Ray_tracing,random_per_cell_beam
17,cell_17,5,site_5,5,4G-Macro-RRU-v1,active,8,8,17,4G-Macro-BBU-v1,17,529518.0,181139.0,20.55,0,TDD,SA2,1,12,14,43.0,35,-1,-1,2,0.15,20,100,15,66.74107142857143,0.14,-1,-1,2,0.15,20,100,15,66.74107142857143,0.14,1,-1,-1,-1,Ray_tracing,8,94.0,30,0,140.0,65,30,92.0,90,0,0,1,1,8,1,single,V,8,0,0,0.0652173913043478,0.0652173913043478,3GPPTR38_901_P1_single_column,1,1,1,3GPPTR38_901_P1_single_column,1,1,1,Ray_tracing,Ray_tracing,random_per_cell_beam
18,cell_18,6,site_6,6,4G-Macro-RRU-v1,active,8,8,18,4G-Macro-BBU-v1,18,528910.0,181300.0,55.97,0,TDD,SA2,1,12,14,41.0,35,-1,-1,2,0.15,20,100,15,66.74107142857143,0.14,-1,-1,2,0.15,20,100,15,66.74107142857143,0.14,1,-1,-1,-1,Ray_tracing,8,65.0,30,0,0.0,65,30,95.0,90,0,0,1,1,8,1,single,V,8,0,0,0.0652173913043478,0.0652173913043478,3GPPTR38_901_P1_single_column,1,1,1,3GPPTR38_901_P1_single_column,1,1,1,Ray_tracing,Ray_tracing,random_per_cell_beam
19,cell_19,6,site_6,6,4G-Macro-RRU-v1,active,8,8,19,4G-Macro-BBU-v1,19,528910.0,181300.0,55.97,0,TDD,SA2,1,12,14,41.0,35,-1,-1,2,0.15,20,100,15,66.74107142857143,0.14,-1,-1,2,0.15,20,100,15,66.74107142857143,0.14,1,-1,-1,-1,Ray_tracing,8,65.0,30,0,270.0,65,30,95.0,90,0,0,1,1,8,1,single,V,8,0,0,0.0652173913043478,0.0652173913043478,3GPPTR38_901_P1_single_column,1,1,1,3GPPTR38_901_P1_single_column,1,1,1,Ray_tracing,Ray_tracing,random_per_cell_beam
20,cell_20,6,site_6,6,4G-Macro-RRU-v1,active,8,8,20,4G-Macro-BBU-v1,20,528910.0,181300.0,55.97,0,TDD,SA2,1,12,14,41.0,35,-1,-1,2,0.15,20,100,15,66.74107142857143,0.14,-1,-1,2,0.15,20,100,15,66.74107142857143,0.14,1,-1,-1,-1,Ray_tracing,8,65.0,30,0,120.0,65,30,95.0,90,0,0,1,1,8,1,single,V,8,0,0,0.0652173913043478,0.0652173913043478,3GPPTR38_901_P1_single_column,1,1,1,3GPPTR38_901_P1_single_column,1,1,1,Ray_tracing,Ray_tracing,random_per_cell_beam
21,cell_21,7,site_7,7,4G-Macro-RRU-v1,active,8,8,21,4G-Macro-BBU-v1,21,529870.0,181200.0,24.25,0,TDD,SA2,1,12,14,43.0,35,-1,-1,2,0.15,20,100,15,66.74107142857143,0.14,-1,-1,2,0.15,20,100,15,66.74107142857143,0.14,1,-1,-1,-1,Ray_tracing,8,61.1,30,0,0.0,65,30,90.0,90,0,0,1,1,8,1,single,V,8,0,0,0.0652173913043478,0.0652173913043478,3GPPTR38_901_P1_single_column,1,1,1,3GPPTR38_901_P1_single_column,1,1,1,Ray_tracing,Ray_tracing,random_per_cell_beam
22,cell_22,7,site_7,7,4G-Macro-RRU-v1,active,8,8,22,4G-Macro-BBU-v1,22,529870.0,181200.0,27.25,0,TDD,SA2,1,12,14,43.0,35,-1,-1,2,0.15,20,100,15,66.74107142857143,0.14,-1,-1,2,0.15,20,100,15,66.74107142857143,0.14,1,-1,-1,-1,Ray_tracing,8,61.6,30,0,260.0,65,30,90.0,90,0,0,1,1,8,1,single,V,8,0,0,0.0652173913043478,0.0652173913043478,3GPPTR38_901_P1_single_column,1,1,1,3GPPTR38_901_P1_single_column,1,1,1,Ray_tracing,Ray_tracing,random_per_cell_beam
23,cell_23,7,site_7,7,4G-Macro-RRU-v1,active,8,8,23,4G-Macro-BBU-v1,23,529870.0,181200.0,27.25,0,TDD,SA2,1,12,14,43.0,35,-1,-1,2,0.15,20,100,15,66.74107142857143,0.14,-1,-1,2,0.15,20,100,15,66.74107142857143,0.14,1,-1,-1,-1,Ray_tracing,8,61.4,30,0,130.0,65,30,90.0,90,0,0,1,1,8,1,single,V,8,0,0,0.0652173913043478,0.0652173913043478,3GPPTR38_901_P1_single_column,1,1,1,3GPPTR38_901_P1_single_column,1,1,1,Ray_tracing,Ray_tracing,random_per_cell_beam
24,cell_24,8,site_8,8,4G-Macro-RRU-v1,active,8,8,24,4G-Macro-BBU-v1,24,529231.0,181462.0,27.82,0,TDD,SA2,1,12,14,43.0,35,-1,-1,2,0.15,20,100,15,66.74107142857143,0.14,-1,-1,2,0.15,20,100,15,66.74107142857143,0.14,1,-1,-1,-1,Ray_tracing,8,94.0,30,0,285.0,65,30,90.0,90,0,0,1,1,8,1,single,V,8,0,0,0.0652173913043478,0.0652173913043478,3GPPTR38_901_P1_single_column,1,1,1,3GPPTR38_901_P1_single_column,1,1,1,Ray_tracing,Ray_tracing,random_per_cell_beam
25,cell_25,8,site_8,8,4G-Macro-RRU-v1,active,8,8,25,4G-Macro-BBU-v1,25,529231.0,181462.0,27.82,0,TDD,SA2,1,12,14,43.0,35,-1,-1,2,0.15,20,100,15,66.74107142857143,0.14,-1,-1,2,0.15,20,100,15,66.74107142857143,0.14,1,-1,-1,-1,Ray_tracing,8,94.0,30,0,195.0,65,30,90.0,90,0,0,1,1,8,1,single,V,8,0,0,0.0652173913043478,0.0652173913043478,3GPPTR38_901_P1_single_column,1,1,1,3GPPTR38_901_P1_single_column,1,1,1,Ray_tracing,Ray_tracing,random_per_cell_beam
26,cell_26,8,site_8,8,4G-Macro-RRU-v1,active,8,8,26,4G-Macro-BBU-v1,26,529231.0,181462.0,27.82,0,TDD,SA2,1,12,14,43.0,35,-1,-1,2,0.15,20,100,15,66.74107142857143,0.14,-1,-1,2,0.15,20,100,15,66.74107142857143,0.14,1,-1,-1,-1,Ray_tracing,8,94.0,30,0,105.0,65,30,90.0,90,0,0,1,1,8,1,single,V,8,0,0,0.0652173913043478,0.0652173913043478,3GPPTR38_901_P1_single_column,1,1,1,3GPPTR38_901_P1_single_column,1,1,1,Ray_tracing,Ray_tracing,random_per_cell_beam
27,cell_27,9,site_9,9,4G-Macro-RRU-v1,active,8,8,27,4G-Macro-BBU-v1,27,529441.0,180730.0,36.75,0,TDD,SA2,1,12,14,43.0,35,-1,-1,2,0.15,20,100,15,66.74107142857143,0.14,-1,-1,2,0.15,20,100,15,66.74107142857143,0.14,1,-1,-1,-1,Ray_tracing,8,103.0,30,0,20.0,65,30,92.0,90,0,0,1,1,8,1,single,V,8,0,0,0.0652173913043478,0.0652173913043478,3GPPTR38_901_P1_single_column,1,1,1,3GPPTR38_901_P1_single_column,1,1,1,Ray_tracing,Ray_tracing,random_per_cell_beam
28,cell_28,9,site_9,9,4G-Macro-RRU-v1,active,8,8,28,4G-Macro-BBU-v1,28,529441.0,180730.0,36.75,0,TDD,SA2,1,12,14,43.0,35,-1,-1,2,0.15,20,100,15,66.74107142857143,0.14,-1,-1,2,0.15,20,100,15,66.74107142857143,0.14,1,-1,-1,-1,Ray_tracing,8,103.0,30,0,280.0,65,30,92.0,90,0,0,1,1,8,1,single,V,8,0,0,0.0652173913043478,0.0652173913043478,3GPPTR38_901_P1_single_column,1,1,1,3GPPTR38_901_P1_single_column,1,1,1,Ray_tracing,Ray_tracing,random_per_cell_beam
29,cell_29,9,site_9,9,4G-Macro-RRU-v1,active,8,8,29,4G-Macro-BBU-v1,29,529441.0,180730.0,36.7,0,TDD,SA2,1,12,14,43.0,35,-1,-1,2,0.15,20,100,15,66.74107142857143,0.14,-1,-1,2,0.15,20,100,15,66.74107142857143,0.14,1,-1,-1,-1,Ray_tracing,8,103.0,30,0,140.0,65,30,92.0,90,0,0,1,1,8,1,single,V,8,0,0,0.0652173913043478,0.0652173913043478,3GPPTR38_901_P1_single_column,1,1,1,3GPPTR38_901_P1_single_column,1,1,1,Ray_tracing,Ray_tracing,random_per_cell_beam
30,cell_30,10,site_10,10,4G-Macro-RRU-v1,active,8,8,30,4G-Macro-BBU-v1,30,529452.0,181469.0,25.46,0,TDD,SA2,1,12,14,41.0,35,-1,-1,2,0.15,20,100,15,66.74107142857143,0.14,-1,-1,2,0.15,20,100,15,66.74107142857143,0.14,1,-1,-1,-1,Ray_tracing,8,62.0,30,0,300.0,65,30,90.0,90,0,0,1,1,8,1,single,V,8,0,0,0.0652173913043478,0.0652173913043478,3GPPTR38_901_P1_single_column,1,1,1,3GPPTR38_901_P1_single_column,1,1,1,Ray_tracing,Ray_tracing,random_per_cell_beam
31,cell_31,10,site_10,10,4G-Macro-RRU-v1,active,8,8,31,4G-Macro-BBU-v1,31,529452.0,181469.0,23.2,0,TDD,SA2,1,12,14,41.0,35,-1,-1,2,0.15,20,100,15,66.74107142857143,0.14,-1,-1,2,0.15,20,100,15,66.74107142857143,0.14,1,-1,-1,-1,Ray_tracing,8,103.0,30,0,210.0,65,30,90.0,90,0,0,1,1,8,1,single,V,8,0,0,0.0652173913043478,0.0652173913043478,3GPPTR38_901_P1_single_column,1,1,1,3GPPTR38_901_P1_single_column,1,1,1,Ray_tracing,Ray_tracing,random_per_cell_beam
32,cell_32,10,site_10,10,4G-Macro-RRU-v1,active,8,8,32,4G-Macro-BBU-v1,32,529452.0,181469.0,23.2,0,TDD,SA2,1,12,14,41.0,35,-1,-1,2,0.15,20,100,15,66.74107142857143,0.14,-1,-1,2,0.15,20,100,15,66.74107142857143,0.14,1,-1,-1,-1,Ray_tracing,8,103.0,30,0,120.0,65,30,90.0,90,0,0,1,1,8,1,single,V,8,0,0,0.0652173913043478,0.0652173913043478,3GPPTR38_901_P1_single_column,1,1,1,3GPPTR38_901_P1_single_column,1,1,1,Ray_tracing,Ray_tracing,random_per_cell_beam
33,cell_33,11,site_11,11,4G-Macro-RRU-v1,active,8,8,33,4G-Macro-BBU-v1,33,529710.0,180930.0,21.9,0,TDD,SA2,1,12,14,43.0,35,-1,-1,2,0.15,20,100,15,66.74107142857143,0.14,-1,-1,2,0.15,20,100,15,66.74107142857143,0.14,1,-1,-1,-1,Ray_tracing,8,63.0,30,0,35.0,65,30,90.0,90,0,0,1,1,8,1,single,V,8,0,0,0.0652173913043478,0.0652173913043478,3GPPTR38_901_P1_single_column,1,1,1,3GPPTR38_901_P1_single_column,1,1,1,Ray_tracing,Ray_tracing,random_per_cell_beam
34,cell_34,11,site_11,11,4G-Macro-RRU-v1,active,8,8,34,4G-Macro-BBU-v1,34,529710.0,180930.0,21.9,0,TDD,SA2,1,12,14,43.0,35,-1,-1,2,0.15,20,100,15,66.74107142857143,0.14,-1,-1,2,0.15,20,100,15,66.74107142857143,0.14,1,-1,-1,-1,Ray_tracing,8,63.0,30,0,215.0,65,30,90.0,90,0,0,1,1,8,1,single,V,8,0,0,0.0652173913043478,0.0652173913043478,3GPPTR38_901_P1_single_column,1,1,1,3GPPTR38_901_P1_single_column,1,1,1,Ray_tracing,Ray_tracing,random_per_cell_beam
35,cell_35,11,site_11,11,4G-Macro-RRU-v1,active,8,8,35,4G-Macro-BBU-v1,35,529710.0,180930.0,21.9,0,TDD,SA2,1,12,14,43.0,35,-1,-1,2,0.15,20,100,15,66.74107142857143,0.14,-1,-1,2,0.15,20,100,15,66.74107142857143,0.14,1,-1,-1,-1,Ray_tracing,8,63.0,30,0,125.0,65,30,90.0,90,0,0,1,1,8,1,single,V,8,0,0,0.0652173913043478,0.0652173913043478,3GPPTR38_901_P1_single_column,1,1,1,3GPPTR38_901_P1_single_column,1,1,1,Ray_tracing,Ray_tracing,random_per_cell_beam
